"id","name","category1","catgeory2","description","image","link"
1,"Margarita","Adventurous","Adventurous","Adventurous - A margarita is for those who don't shy away from a chance to get your hands dirty. You're the life of the party and love to be social.","https://vinepair.com/wp-content/uploads/2020/05/tommysmarg_social_1.jpg","https://vinepair.com/cocktail-recipe/the-tommys-margarita/"
2,"Old Fashioned","Traditional","Traditional","Traditional - An Old Fashioned is reserve for the well respected. You don't like to beat around the bush and at the end of the day, people come to you for advice.","https://vinepair.com/wp-content/uploads/2018/03/Old-Fashioned-Recipe-card.jpg","https://vinepair.com/cocktail-recipe/old-fashioned/"
3,"Manhattan","Sensitive","Sensitive","Sensitive - A Manhattan is belongs to those who are very good at listening to others and empathizing. You are the first person a friend calls when they're in need.","https://vinepair.com/wp-content/uploads/2016/03/manhattan-social.jpg","https://vinepair.com/cocktail-recipe/manhattan/"
4,"Tom Collins","Thinker","Thinker","Thinker - A Tom Collins is for anyone who enjoys learning and have a thirst for finding solutions to problems.","https://vinepair.com/wp-content/uploads/2016/04/tom-collins-social.jpg","https://vinepair.com/cocktail-recipe/tom-collins/"
5,"Bloody Mary","Leader","Leader","Leader - A Bloody Mary is for those that are well respected. You know how to take charge and delegate. The buck stops with you because you're a boss.","https://vinepair.com/wp-content/uploads/2018/03/Bloody-Mary-Recipe-card.jpg","https://vinepair.com/cocktail-recipe/bloody-mary/"
6,"Irish Coffee","AdventurousTraditional","TraditionalAdventurous","Adventurous and Traditional - An Irish Coffee is for those that love a little splash of fun with their daily ritual. You love a routine, but like to mix it up a little from time to time and get crazy.","https://vinepair.com/wp-content/uploads/2018/01/seamstress-irish-card.jpg","https://vinepair.com/cocktail-recipe/irish-coffee-recipe/"
7,"Daiquiri","AdventurousSensitive","SensitiveAdventurous","Adventurous and Sensitive - A Daiquiri is for people who love to have fun but have a deep soul. You can be found at a party in deep conversation with one person for the entire evening.","https://vinepair.com/wp-content/uploads/2016/03/daiquiri-social.jpg","https://vinepair.com/cocktail-recipe/daiquiri/"
8,"Dark 'n Stormy","AdventurousThinker","ThinkerAdventurous","Adventurous and Thinker - A Dark 'n Stormy is for those who love to learn but have a bold side. You like to work hard and play hard. You never shy away from a challenge.","https://vinepair.com/wp-content/uploads/2016/03/dark-stormy-social.jpg","https://vinepair.com/cocktail-recipe/dark-n-stormy/"
9,"Mojito","AdventurousLeader","LeaderAdventurous","Adventurous and Leader - A Mojito is for the natural leader who isn't risk averse. You're the one organizing and leading 5 mile hikes through the Poconos.","https://vinepair.com/wp-content/uploads/2018/03/Mojito-Recipe-card.jpg","https://vinepair.com/cocktail-recipe/mojito/"
10,"Negroni","TraditionalSesnitive","SesnitiveTraditional","Traditional and Sensitive - A Negroni is for people who appreciate traditions in life and are always caring for others as well. You have a very warm personality that people can rely and depend upon. You're a friend to everyone.","https://vinepair.com/wp-content/uploads/2019/11/calvadosnegroni_card.jpg","https://vinepair.com/cocktail-recipe/the-calvados-negroni-recipe/"
11,"Martini","TraditionalThinker","ThinkerTraditional","Traditional and Thinker - A Martini is for the person who always has a clear path forward. You are very successful because you have consistently made large goals and accomplished them with smaller goals.","https://vinepair.com/wp-content/uploads/2018/03/Gin-Martini-Recipe-card.jpg","https://vinepair.com/cocktail-recipe/gin-martini/"
12,"Moscow Mule","TraditionalLeader","LeaderTraditional","Traditional and Leader - A Moscow Mule is for the classic go-to person for any problem. You are very dependable and people look up to you. You have a strong moral compass and no one is ever surprised when you succeed.","https://vinepair.com/wp-content/uploads/2018/03/moscow-card.jpg","https://vinepair.com/cocktail-recipe/moscow-mule-recipe/"
13,"Cosmopolitan","SensitiveThinker","ThinkerSensitive","Sensitive and Thinker - A Cosmopolitan is for those who cannot be boxed in. You have a love for the arts and are naturally a citizen of the world.","https://vinepair.com/wp-content/uploads/2018/03/Cosmopolitan-Recipe-card.jpg","https://vinepair.com/cocktail-recipe/cosmopolitan/"
14,"Mai Tai","SensitiveLeader","LeaderSensitive","Sensitive and Leader - A Mai Tai is for the kind soul who also knows how to take charge. You know how to accomplish goals and do so with warmth and compassion.","https://vinepair.com/wp-content/uploads/2020/07/maitai_card.jpg","https://vinepair.com/cocktail-recipe/mai-tai-recipe/"
15,"Whiskey Sour","ThinkerLeader","LeaderThinker","Thinker/Leader - A Whiskey Sour is reserved only for the most badass. You put the hard work in and it pays off. You might go on to be president of the United States one day.","https://vinepair.com/wp-content/uploads/2020/07/whiskeysour_card.jpg","https://vinepair.com/cocktail-recipe/whiskey-sour-recipe/"
